2378-1351	Abdomen
1432-0509,0942-8925	Abdominal Imaging
2366-0058,2366-004X	Abdominal Radiology
2275-6639	ABE Journal
2213-8609,1687-8280	Abgadiyat
1865-8784,0025-5858	Abhandlungen aus dem Mathematischen Seminar der Universität Hamburg
0340-3718	Abhandlungen herausgegeben vom Naturwissenschaftlichen Verein zu Bremen
2191-4664,0720-6763	ABI-Technik
0794-6961	Abia State University Medical Students Association Journal
2259-3411	Abiotic and Biotic Stress Journal
2443-0587,2443-0587	Abjadia
2472-0496	Abnormal and Behavioural Psychology
2157-7129	ABO Interactive Journal for Women in the Arts 1640-1830
1837-9389,0314-8769	Aboriginal History Journal
1923-3299	aboriginal policy studies
1536-0687,1086-4822	About Campus
2465-2628,2465-2628	ABOUTOPEN
1984-2090	Abril – NEPA / UFF
1687-0409,1085-3375	Abstract and Applied Analysis
2415-2072	Abstract of Applied Sciences and Engineering
1557-5136,0001-3455	Abstracts in Anthropology
1471-6410,0951-0079	Abstracts of Working Papers in Economics
2525-4022	Abusões
0190-2946	Academe
2362-9215,2362-9142	ACADEME University of Bohol Graduate School and Professional Studies
2455-5274	Academia Anatomica International
2456-7388	Academia Anesthesiologica International
1012-8255	Academia Revista Latinoamericana de Administración
2007-252X	Academia XXII
0719-9147	Academia y Crítica
2011-0731	Academia y Virtualidad
1055-4769	Academic and Library Computing
1884-5002,1884-426X	Academic Collaborations for Sick Children
1553-2712,1069-6563	Academic Emergency Medicine
1925-3621	Academic Forensic Pathology
2333-0783	Academic Journal of Accounting and Economic Researches
2281-4612,2281-3993	Academic Journal of Interdisciplinary Studies
2520-789X	Academic Journal of Nawroz University
2474-7521	Academic Journal of Pediatrics & Neonatology
2333-0821	Academic Journal of Psychological Studies
2311-3278	Academic Journal of Research in Economics and Management
2356-9816,2356-9816	Academic Journal of Scientific Miracles
0258-879X	Academic Journal of Second Military Medical University
1112-8712	Academic Journal of Social and Human Studies
1040-2446	Academic Medicine
2374-2895,2374-2895	Academic Pathology
1876-2859	Academic Pediatrics
2147-4575,2147-4575	Academic Platform Journal of Engineering and Science
1545-7230,1042-9670	Academic Psychiatry
1936-4709,0895-4852	Academic Questions
1076-6332	Academic Radiology
2277-3665	Academic Sports Scholar
0001-396X	Academic Therapy
1040-9777	Academic Therapy Quarterly
2091-1106	Academic Voices A Multidisciplinary Journal
2249-7137	ACADEMICIA An International Multidisciplinary Research Journal
2079-3715	Academicus International Scientific Journal
2211-8780	Academie voor arbeidsrecht
0896-7911	Academy of Management Best Papers Proceedings
2168-1007,2168-1007	Academy of Management Discoveries
1990-1993	Academy of Management Executive
1896-3789	Academy of Management Executive
1944-9585,1537-260X	Academy of Management Learning and Education
1943-4529,1558-9080	Academy of Management Perspectives
2151-6561,0065-0668	Academy of Management Proceedings
1712-7432	Acadiensis Journal of the History of the Atlantic Region / Revue d’histoire de la region atlantique
2238-0701	Ação Midiática – Estudos em Comunicação Sociedade e Cultura
2221-5115,0132-8077	Acarina
2107-7207,0044-586X	Acarologia
1062-1458	ACC Current Journal Review
1803-9782	ACC Journal
2455-4707	ACCENTS Transactions on Image Processing and Computer Vision
2455-7196	ACCENTS Transactions on Information Security
0001-4575	Accident Analysis & Prevention
0965-2302	Accident and Emergency Nursing
2255-1271,1578-908X	Acción Psicológica
2456-3374	Account and Financial Management Journal
1545-5815,0898-9621	Accountability in Research
2369-7407,2369-7393	Accounting
2159-4260,0001-4788	Accounting and Business Research
0218-5563	Accounting and Business Review
1467-629X,0810-5391	Accounting and Finance
1927-5994,1927-5986	Accounting and Finance Research
2544-1450,2543-5485	Accounting and Financial Control
1530-9320,1530-9320	Accounting and the Public Interest
0951-3574	Accounting Auditing & Accountability Journal
1466-4275,0958-5206	Accounting Business & Financial History
2152-2820,2194-6051	Accounting Economics and Law - A Convivium
1468-4489,0963-9284	Accounting Education
2327-4468,0148-4184	Accounting Historians Journal
1749-3374,1032-3732	Accounting History
2155-286X,2155-2851	Accounting History Review
1558-7975,0888-7993	Accounting Horizons
1744-9499,1744-9480	Accounting in Europe
0959-8022	Accounting Management and Information Technologies
0361-3682	Accounting Organizations and Society
1911-3838,1911-382X	Accounting Perspectives
1030-9616	Accounting Research Journal
1520-4898,0001-4842	Accounts of Chemical Research
1432-0517,0949-1775	Accreditation and Quality Assurance
1886-4805	ACE Architecture City and Environment
2088-9860,2088-9860	Aceh International Journal of Science and Technology
2502-9568	Aceh Journal of Animal Science
2240-2845	Acetic Acid Bacteria
2020-0064	Acetophenones Substituted on the Aromatic Ring
2326-3253	ACG Case Reports Journal
2078-1520	Achievements in the Life Sciences
0162-4075	ACI Concrete International
0002-8061	ACI Journal Proceedings
0889-325X	ACI Materials Journal
0889-3241	ACI Structural Journal
2020-0498	Acid-Catalyzed Protic Solvent Spiroketalization toward Milbemycin
1932-2240	ACM Communications in Computer Algebra
0360-0300	ACM Computing Surveys
2153-2184	ACM Inroads
1527-6805	ACM Journal of Computer Documentation
1550-4832	ACM Journal on Emerging Technologies in Computing Systems
1057-4514	ACM Letters on Programming Languages and Systems
2372-8752	ACM Lisp Bulletin
1558-2337	ACM SIGACCESS Accessibility and Computing
0163-5700	ACM SIGACT News
1094-3641	ACM SIGAda Ada Letters
0163-6006	ACM SIGAPL APL Quote Quad
1559-6915	ACM SIGAPP Applied Computing Review
0163-5964	ACM SIGARCH Computer Architecture News
0163-5719	ACM SIGART Bulletin
1551-3688,1551-3688	ACM SIGBED Review
0163-5697	ACM SIGBIO Newsletter
2331-9291	ACM SIGBioinformatics Record
0163-5727	ACM SIGCAPH Computers and the Physically Handicapped
0095-2737	ACM SIGCAS Computers and Society
0736-6906	ACM SIGCHI Bulletin
0146-4833	ACM SIGCOMM Computer Communication Review
0160-2497	ACM SIGCPR Computer Personnel
0097-8418	ACM SIGCSE Bulletin
0163-5972	ACM SIGCSIM Installation Management Review
0163-5735	ACM SIGCUE Outlook
0163-5743	ACM SIGDA Newsletter
0731-1001	ACM SIGDOC Asterisk Journal of Computer Documentation
1551-9031,1551-9031	ACM SIGecom Exchanges
1931-8499,1931-8499	ACM SIGEVOlution
1047-4544	ACM SIGFORTH Newsletter
0097-8930	ACM SIGGRAPH Computer Graphics
2372-7403	ACM SIGGROUP Bulletin
2158-8813	ACM SIGHIT Record
2168-135X	ACM SIGHPC Connect
0893-2875	ACM SIGICE Bulletin
0163-5840	ACM SIGIR Forum
1550-1469,1550-1469	ACM SIGITE Newsletter
1931-0145	ACM SIGKDD Explorations Newsletter
0036-147X	ACM SIGLASH Newsletter
0163-5786	ACM SIGMAP Bulletin
0163-5999	ACM SIGMETRICS Performance Evaluation Review
1050-916X	ACM SIGMICRO Newsletter
0163-576X	ACM SIGMINI Newsletter
0095-0033	ACM SIGMIS Database the DATABASE for Advances in Information Systems
1559-1662	ACM SIGMOBILE Mobile Computing and Communications Review
0163-5808	ACM SIGMOD Record
1947-4598	ACM SIGMultimedia Records
0163-5778	ACM SIGNUM Newsletter
0737-819X	ACM SIGOA Newsletter
0894-0819	ACM SIGOIS Bulletin
0163-5980	ACM SIGOPS Operating Systems Review
0163-5816	ACM SIGPC Notes
1061-7264	ACM SIGPLAN Fortran Forum
1045-3563	ACM SIGPLAN Lisp Pointers
0362-1340	ACM SIGPLAN Notices
1055-6400	ACM SIGPLAN OOPS Messenger
0277-920X	ACM SIGSAC Review
0163-5824	ACM SIGSAM Bulletin
0163-6103	ACM SIGSIM Simulation Digest
0272-720X	ACM SIGSMALL Newsletter
0163-5794	ACM SIGSOC Bulletin
0163-5948	ACM SIGSOFT Software Engineering Notes
0736-6892	ACM SIGUCCS Newsletter
2168-8516	ACM SIGUCCS plugged in
1931-1745	ACM SIGWEB Newsletter
1936-7228	ACM Transactions on Accessible Computing
1549-6325	ACM Transactions on Algorithms
1544-3558	ACM Transactions on Applied Perception
1544-3566	ACM Transactions on Architecture and Code Optimization
2375-4699	ACM Transactions on Asian and Low-Resource Language Information Processing
1530-0226	ACM Transactions on Asian Language Information Processing
1556-4665	ACM Transactions on Autonomous and Adaptive Systems
1942-3454	ACM Transactions on Computation Theory
1529-3785	ACM Transactions on Computational Logic
0734-2071	ACM Transactions on Computer Systems
1073-0516	ACM Transactions on Computer-Human Interaction
1946-6226	ACM Transactions on Computing Education
2378-962X	ACM Transactions on Cyber-Physical Systems
0362-5915	ACM Transactions on Database Systems
1084-4309	ACM Transactions on Design Automation of Electronic Systems
2167-8375	ACM Transactions on Economics and Computation
0730-0301	ACM Transactions on Graphics
1094-9224	ACM Transactions on Information and System Security
1046-8188	ACM Transactions on Information Systems
2157-6904	ACM Transactions on Intelligent Systems and Technology
2160-6455	ACM Transactions on Interactive Intelligent Systems
1556-4681	ACM Transactions on Knowledge Discovery from Data
2158-656X	ACM Transactions on Management Information Systems
0098-3500	ACM Transactions on Mathematical Software
1049-3301	ACM Transactions on Modeling and Computer Simulation
2376-3639	ACM Transactions on Modeling and Performance Evaluation of Computing Systems
1551-6857	ACM Transactions on Multimedia Computing Communications and Applications
2329-4949	ACM Transactions on Parallel Computing
2471-2566	ACM Transactions on Privacy and Security
0164-0925	ACM Transactions on Programming Languages and Systems
1936-7406	ACM Transactions on Reconfigurable Technology and Systems
1550-4859	ACM Transactions on Sensor Networks
1049-331X	ACM Transactions on Software Engineering and Methodology
2374-0353	ACM Transactions on Spatial Algorithms and Systems
1550-4875	ACM Transactions on Speech and Language Processing
1553-3077	ACM Transactions on Storage
1559-1131	ACM Transactions on the Web
1085-6862	ACOG Clinical Review
1980-7686,1980-7686	Acolhendo a Alfabetização nos Países de Língua Portuguesa
2171-7788	ACOPIOS-Revista Ibérica de Mineralogía
1092-6534	Acorn
1562-6865,1063-7710	Acoustical Physics
0814-6039,0814-6039	Acoustics Australia
1529-7853,1529-7853	Acoustics Research Letters Online
1557-0223,1557-0215	Acoustics Today
2280-6458,1828-454X	Acque Sotterranee-Italian Journal of Groundwater
0351-2851,0351-2851	Acrocephalus
1588-2519,1585-1923	Across Languages and Cultures
1944-8252,1944-8244	ACS Applied Materials & Interfaces
2373-9878,2373-9878	ACS Biomaterials Science & Engineering
2155-5435,2155-5435	ACS Catalysis
2374-7951,2374-7943	ACS Central Science
1554-8937,1554-8929	ACS Chemical Biology
1948-7193,1948-7193	ACS Chemical Neuroscience
2156-8944,2156-8952	ACS Combinatorial Science
2472-3452,2472-3452	ACS Earth and Space Chemistry
2380-8195,2380-8195	ACS Energy Letters
2373-8227,2373-8227	ACS Infectious Diseases
2161-1653,2161-1653	ACS Macro Letters
1948-5875,1948-5875	ACS Medicinal Chemistry Letters
1936-086X,1936-0851	ACS Nano
2470-1343,2470-1343	ACS Omega
2330-4022,2330-4022	ACS Photonics
2379-3694,2379-3694	ACS Sensors
2168-0485,2168-0485	ACS Sustainable Chemistry & Engineering
2161-5063,2161-5063	ACS Synthetic Biology
1091-5397	ACSMʼs Health & Fitness Journal
1993-1352,0510-9752	Acta Academiae Medicinae Wuhan
2415-0479,0587-2405	Acta Academica
1610-1928	Acta Acustica united with Acustica
0001-5121	Acta Agriculturae Scandinavica
1651-1972,0906-4702	Acta Agriculturae Scandinavica Section A – Animal Science
1651-1913,0906-4710	Acta Agriculturae Scandinavica Section B - Soil & Plant Science
2560-3140,0354-9542	Acta agriculturae Serbica
1854-1941,1581-9175	Acta agriculturae Slovenica
2300-357X,0065-0951	Acta Agrobotanica
2323-0118,0120-2812	Acta Agronómica
1588-2527,0238-0161	Acta Agronomica Hungarica
1416-647X	Acta Agronomica Óváriensis
0496-3490	ACTA AGRONOMICA SINICA
1875-2780	Acta Agronomica Sinica
0044-5967,0044-5967	Acta Amazonica
1399-6576,0001-5172	Acta Anaesthesiologica Scandinavica
1875-4597	Acta Anaesthesiologica Taiwanica
1009-1327	Acta Analysis Functionalis Applicata
1874-6349,0353-5150	Acta Analytica
1421-9654,0001-5180	Acta Anatomica
1644-3276,1234-950X	Acta Angiologica
2358-2375	ACTA Apicola Brasilica
1572-9036,0167-8019	Acta Applicandae Mathematicae
1880-7852,0001-5202	Acta Arachnologica
1588-2551,0001-5210	Acta Archaeologica
1600-0390,0065-101X	Acta Archaeologica
1730-6264,0065-1036	Acta Arithmetica
0094-5765,0094-5765	Acta Astronautica
0254-4156	ACTA AUTOMATICA SINICA
1874-1029	Acta Automatica Sinica
2228-2017,2228-2009	Acta Baltica Historiae et Philosophiae Scientiarum
2392-2389,0065-1044	Acta Baltico-Slavica
1745-7270,1672-9145	Acta Biochimica et Biophysica Sinica
1734-154X,0001-527X	Acta Biochimica Polonica
1726-569X	Acta bioethica
2353-3013,1230-3976	Acta Biologica
2358-3363	Acta Biológica Catarinense
1900-1649,0120-548X	Acta Biológica Colombiana
1898-0295,0001-5296	Acta Biologica Cracoviensia s Botanica
1588-256X,0236-5383	Acta Biologica Hungarica
2232-1675	Acta Biologica Malaysiana
2236-1472,0301-2123	Acta Biológica Paranaense
2412-1908	Acta Biologica Sibirica
1742-7061	Acta Biomaterialia
2333-7931	Acta Biomaterialia Odontologica Scandinavica
2236-0867	Acta Biomédica Brasiliensia
2348-2168,2348-215X	Acta Biomedica Scientia
1000-6737	ACTA BIOPHYSICA SINICA
1521-3846,0138-4988	Acta Biotechnologica
1572-8358,0001-5342	Acta Biotheoretica
1503-111X,0800-3831	Acta Borealia
0102-3306,0102-3306	Acta Botanica Brasilica
0365-0588,0365-0588	Acta Botanica Croatica
2166-3408,1253-8078	Acta Botanica Gallica
1588-2578,0236-6495	Acta Botanica Hungarica
2340-5074,2340-5074	Acta Botanica Malacitana
2448-7589,0187-7151	Acta Botanica Mexicana
0044-5983	Acta Botanica Neerlandica
0253-2700	Acta Botanica Yunnanica
2526-4338,2526-432X	Acta Brasiliensis
0583-6050	Acta Carsologica
2067-2446	Acta Chemica Iasi
0904-213X	Acta Chemica Scandinavica
0256-7660	Acta Chimica Sinica
0567-7351	Acta Chimica Sinica
1337-978X,1337-978X	Acta Chimica Slovaca
1580-3155,1580-3155	Acta Chimica Slovenica
1733-5329,1508-1109	Acta Chiropterologica
0001-5458	Acta Chirurgica Belgica
2406-0887,0354-950X	Acta chirurgica iugoslavica
2199-5737,1407-981X	Acta Chirurgica Latviensis
2083-5736,1233-2356	Acta Chromatographica
1519-9800,1519-9800	Acta Científica Ciências Humanas
0102-8650,0102-8650	Acta Cirurgica Brasileira
1678-2674,1678-2674	Acta Cirurgica Brasileira
0065-1141	Acta Classica
2295-3337,1784-3286	Acta Clinica Belgica
0353-9474	Acta Clinica Croatica
0353-9466	Acta Clinica Croatica
0122-7262	Acta Colombiana de Cuidado Intensivo
0123-9155	Acta Colombiana de Psicología
1684-1999,2413-1903	Acta Commercii
1718-3243,0065-1168	Acta Criminologica
0365-110X	Acta Crystallographica
0567-7394	Acta Crystallographica Section A
2053-2733,2053-2733	Acta Crystallographica Section A Foundations and Advances
1600-5724,0108-7673	Acta Crystallographica Section A Foundations of Crystallography
0567-7408	Acta Crystallographica Section B
1600-5740,0108-7681	Acta Crystallographica Section B Structural Science
2052-5206,2052-5192	Acta Crystallographica Section B Structural Science Crystal Engineering and Materials
1600-5759,0108-2701	Acta Crystallographica Section C Crystal Structure Communications
2053-2296,2053-2296	Acta Crystallographica Section C Structural Chemistry
1399-0047,0907-4449	Acta Crystallographica Section D Biological Crystallography
2059-7983,2059-7983	Acta Crystallographica Section D Structural Biology
2056-9890	Acta Crystallographica Section E Crystallographic Communications
1600-5368	Acta Crystallographica Section E Structure Reports Online
1744-3091	Acta Crystallographica Section F Structural Biology and Crystallization Communications
2053-230X	Acta Crystallographica Section F Structural Biology Communications
0324-721X	Acta Cybernetica
1938-2650,0001-5547	Acta Cytologica
2007-4719	Acta de Investigación Psicológica
0001-5555	Acta Dermato Venereologica
1318-4458,1318-4458	Acta Dermatovenerologica Alpina Pannonica et Adriatica
1432-5233,0940-5429	Acta Diabetologica
0001-5563	Acta Diabetologica Latina
1504-9922	Acta Didactica Norge
1872-2032	Acta Ecologica Sinica
1000-0933	Acta Ecologica Sinica
1849-921X	Acta Economica Et Turistica
1338-3957,1335-8243	Acta Electrotechnica et Informatica
1843-066X,1841-0987	Acta Endocrinologica (Bucharest)
1765-3134,0240-642X	Acta Endoscopica
2300-3022,2300-3022	Acta Energetica Power Engineering Quarterly
1339-9802	Acta Environmentalica Universitatis Comenianae
2228-4699,1406-2283	Acta et Commentationes Universitatis Tartuensis de Mathematica
1588-2586,1216-9803	Acta Ethnographica Hungarica
0520-7371	Acta Facultatis Educationis Physicae Universitatis Comenianae
2217-2521,0351-6083	Acta Facultatis Medicae Naissensis
1338-6786,0301-2298	Acta Facultatis Pharmaceuticae Universitatis Comenianae
0104-7795	Acta Fisiátrica
0001-5636	Acta Forestalia Fennica
1336-9245	Acta fytotechnica et zootechnica
0379-4172	Acta Genetica Sinica
1120-9623	Acta geneticae medicae et gemellologiae
0515-2836	Acta geneticae medicae et gemellologiae Supplementum
0001-5660	Acta geneticae medicae et gemellologiae twin research
1857-9833	Acta Geobalcanica
2365-7499,2096-0956	Acta Geochimica
2213-5820,2213-5812	Acta Geodaetica et Geophysica
1587-1037,1217-8977	Acta Geodaetica et Geophysica Hungarica
1214-9705	Acta Geodynamica et Geomaterialia
1581-8314,1581-6613	Acta geographica Slovenica
1588-2594,0236-5278	Acta Geologica Hungarica
2300-1887,0001-5709	Acta Geologica Polonica
1755-6724,1000-9515	Acta Geologica Sinica - English Edition
0001-5717	Acta Geologica Sinica-English
1895-7455,1895-6572	Acta Geophysica
1861-1133,1861-1125	Acta Geotechnica
1848-3828,0353-4707	ACTA GRAPHICA Journal for Printing Science and Graphic Communications
2336-4920,2336-4912	Acta Gymnica
1421-9662,0001-5792	Acta Haematologica
0001-5814	Acta Haematologica Polonica
2414-6528	Acta healthmedica
2411-4502,1017-7000	Acta Herediana
0065-1281	Acta Histochemica
1347-5800,0044-5991	ACTA HISTOCHEMICA ET CYTOCHEMICA
1588-2608,0001-5830	Acta Historiae Artium
2466-2925,0352-7840	Acta historiae medicinae stomatologiae pharmaciae medicinae veterinariae
1406-2925	Acta Historica Tallinnensia
2351-6526,1392-4095	Acta Historica Universitatis Klaipedensis
0374-1273	Acta Horti Botanici Bucurestiensis
2406-6168,0567-7572	Acta Horticulturae
1338-5259	Acta Horticulturae et Regiotecturae
2082-4459	Acta Humana
1000-3207	Acta Hydrobiologica Sinica
1521-401X,0323-4320	Acta hydrochimica et hydrobiologica
1849-1243,1845-3392	Acta Iadertina
1734-1515,0137-1592	Acta Ichthyologica Et Piscatoria
2221-870X	ACTA IMEKO
1432-0525,0001-5903	Acta Informatica
2521-0505,2521-0874	Acta Informatica Malaysia
0353-8109	Acta Informatica Medica
1805-4951,1805-4951	Acta Informatica Pragensia
2411-7315	Acta Islamica
2083-4373	Acta Iuris Stetinensis
1588-2616,1216-2574	Acta Juridica Hungarica
2228-3501,1406-9822	Acta Kinesiologiae Universitatis Tartuensis
1520-7412	Acta Koreana
0102-6712,0102-6712	Acta Limnologica Brasiliensia
2179-975X,0102-6712	Acta Limnologica Brasiliensia
0105-001X	Acta Linguistica
2560-1016,2559-8201	Acta Linguistica Academica
2232-3317	Acta Linguistica Asiatica
1949-0763,0374-0463	Acta Linguistica Hafniensia
1588-2624,1216-8076	Acta Linguistica Hungarica
0717-6848	Acta literaria
2351-7387,1822-5608	Acta litteraria comparativa
1339-5629,1339-5629	Acta Logistica
0065-1370	Acta Manilana
1359-6454	Acta Materialia
1871-2509,0001-5962	Acta Mathematica
0001-5954	Acta Mathematica Academiae Scientiarum Hungaricae
1588-2632,0236-5294	Acta Mathematica Hungarica
2453-6083	Acta Mathematica Nitriensia
1000-9574	Acta Mathematica Sinica
1439-7617,1439-8516	Acta Mathematica Sinica English Series
2315-4144,0251-4184	Acta Mathematica Vietnamica
1618-3932,0168-9673	Acta Mathematicae Applicatae Sinica English Series
1619-6937,0001-5970	Acta Mechanica
2300-5319	Acta Mechanica et Automatica
1614-3116,0567-7718	Acta Mechanica Sinica
1335-2393	Acta Mechanica Slovaca
0894-9166	Acta Mechanica Solida Sinica
1805-9694,1211-4286	Acta Medica (Hradec Kralove Czech Republic)
1840-2879,1840-1848	Acta Medica Academica
2148-2357,2148-2357	Acta Medica Anatolia
1563-2571,0303-8173	Acta Medica Austriaca
0324-1750	Acta Medica Bulgarica
2349-0896,2349-0578	Acta Medica International
2029-4174,1392-0138	Acta medica Lituanica
2247-6113	Acta Medica Marisiensis
1335-8421,1335-8421	Acta Medica Martiniana
1821-2794,0365-4478	Acta Medica Medianae
1646-0758,0870-399X	Acta Médica Portuguesa
1840-3956,0350-364X	Acta Medica Saliniana
0001-6101	Acta Medica Scandinavica
2062-0284,2062-0284	Acta Medicinae et Sociologica
0001-6160	Acta Metallurgica
0956-7151	Acta Metallurgica et Materialia
0412-1961	ACTA METALLURGICA SINICA
2194-1289,1006-7191	Acta Metallurgica Sinica (English Letters)
1338-1156,1335-1532	Acta Metallurgica Slovaca
1338-1660	Acta Metallurgica Slovaca - Conference
2191-4788,0894-0525	Acta Meteorologica Sinica
2386-7469	Acta Microbiologica
1588-2640,1217-8950	Acta Microbiologica et Immunologica Hungarica
0001-6209	ACTA MICROBIOLOGICA SINICA
1804-6479,0036-5343	Acta Musei Nationalis Pragae Series B Historia Naturalis / Sborník Národního muzea řada B přírodní vědy
2336-3207	Acta Musei Silesiae Scientiae Naturales
2351-5112,2351-5112	Acta Museologica Lithuanica
0001-6241	Acta Musicologica
2353-074X,0001-625X	Acta Mycologica
2075-8243	Acta Nature
