0163-5727	ACM SIGCAPH Computers and the Physically Handicapped	Association for Computing Machinery
0736-6906	ACM SIGCHI Bulletin	Association for Computing Machinery
0160-2497	ACM SIGCPR Computer Personnel	Association for Computing Machinery
0163-5972	ACM SIGCSIM Installation Management Review	Association for Computing Machinery
0163-5735	ACM SIGCUE Outlook	Association for Computing Machinery
0163-5743	ACM SIGDA Newsletter	Association for Computing Machinery
0731-1001	ACM SIGDOC Asterisk Journal of Computer Documentation	Association for Computing Machinery
1551-9031,1551-9031	ACM SIGecom Exchanges	Association for Computing Machinery
1931-8499,1931-8499	ACM SIGEVOlution	Association for Computing Machinery
1047-4544	ACM SIGFORTH Newsletter	Association for Computing Machinery
2372-7403	ACM SIGGROUP Bulletin	Association for Computing Machinery
2158-8813	ACM SIGHIT Record	Association for Computing Machinery
2168-135X	ACM SIGHPC Connect	Association for Computing Machinery
0893-2875	ACM SIGICE Bulletin	Association for Computing Machinery
0163-5840	ACM SIGIR Forum	Association for Computing Machinery
1550-1469,1550-1469	ACM SIGITE Newsletter	Association for Computing Machinery
0036-147X	ACM SIGLASH Newsletter	Association for Computing Machinery
0163-5786	ACM SIGMAP Bulletin	Association for Computing Machinery
0163-5999	ACM SIGMETRICS Performance Evaluation Review	Association for Computing Machinery
1050-916X	ACM SIGMICRO Newsletter	Association for Computing Machinery
0163-576X	ACM SIGMINI Newsletter	Association for Computing Machinery
0095-0033	ACM SIGMIS Database the DATABASE for Advances in Information Systems	Association for Computing Machinery
0163-5778	ACM SIGNUM Newsletter	Association for Computing Machinery
0737-819X	ACM SIGOA Newsletter	Association for Computing Machinery
0894-0819	ACM SIGOIS Bulletin	Association for Computing Machinery
0163-5816	ACM SIGPC Notes	Association for Computing Machinery
1061-7264	ACM SIGPLAN Fortran Forum	Association for Computing Machinery
1045-3563	ACM SIGPLAN Lisp Pointers	Association for Computing Machinery
1055-6400	ACM SIGPLAN OOPS Messenger	Association for Computing Machinery
0277-920X	ACM SIGSAC Review	Association for Computing Machinery
0163-6103	ACM SIGSIM Simulation Digest	Association for Computing Machinery
0272-720X	ACM SIGSMALL Newsletter	Association for Computing Machinery
0163-5794	ACM SIGSOC Bulletin	Association for Computing Machinery
0736-6892	ACM SIGUCCS Newsletter	Association for Computing Machinery
2168-8516	ACM SIGUCCS plugged in	Association for Computing Machinery
2375-4699	ACM Transactions on Asian and Low-Resource Language Information Processing	Association for Computing Machinery
1942-3454	ACM Transactions on Computation Theory	Association for Computing Machinery
2378-962X	ACM Transactions on Cyber-Physical Systems	Association for Computing Machinery
2167-8375	ACM Transactions on Economics and Computation	Association for Computing Machinery
2160-6455	ACM Transactions on Interactive Intelligent Systems	Association for Computing Machinery
2376-3639	ACM Transactions on Modeling and Performance Evaluation of Computing Systems	Association for Computing Machinery
2329-4949	ACM Transactions on Parallel Computing	Association for Computing Machinery
2471-2566	ACM Transactions on Privacy and Security	Association for Computing Machinery
2374-0353	ACM Transactions on Spatial Algorithms and Systems	Association for Computing Machinery
1980-7686,1980-7686	Acolhendo a Alfabetização nos Países de Língua Portuguesa	Universidade de Sao Paulo Sistema Integrado de Bibliotecas - SIBiUSP
2171-7788	ACOPIOS-Revista Ibérica de Mineralogía	ACOPIOS - Revista Iberica de Mineralogia
2472-3452,2472-3452	ACS Earth and Space Chemistry	American Chemical Society
2380-8195,2380-8195	ACS Energy Letters	American Chemical Society
2415-0479,0587-2405	Acta Academica	AFRICAN SUN MeDIA
0001-5121	Acta Agriculturae Scandinavica	Informa UK (Taylor & Francis)
1416-647X	Acta Agronomica Óváriensis	Acta Agronomica Ovariensis
1009-1327	Acta Analysis Functionalis Applicata	China Science Publishing & Media Ltd.
2358-2375	ACTA Apicola Brasilica	Grupo Verde de Agroecologia e Abelhas
2353-3013,1230-3976	Acta Biologica	University of Szczecin
2358-3363	Acta Biológica Catarinense	Fundacao Educacional da Regiao de Joinville - Univille
2232-1675	Acta Biologica Malaysiana	Department of Biology
2348-2168,2348-215X	Acta Biomedica Scientia	Marwah Infotech
0044-5983	Acta Botanica Neerlandica	Wiley (Blackwell Publishing)
2526-4338,2526-432X	Acta Brasiliensis	Acta Brasiliensis
0256-7660	Acta Chimica Sinica	Wiley (John Wiley & Sons)
1337-978X,1337-978X	Acta Chimica Slovaca	De Gruyter Open Sp. z o.o. 
2199-5737,1407-981X	Acta Chirurgica Latviensis	De Gruyter Open Sp. z o.o. 
1519-9800,1519-9800	Acta Científica Ciências Humanas	Instituto Adventista de Ensino
1678-2674,1678-2674	Acta Cirurgica Brasileira	SciELO
0353-9474	Acta Clinica Croatica	Sestre Milosrdnice University Hospital Center (KBC Sestre milosrdnice)
0122-7262	Acta Colombiana de Cuidado Intensivo	Elsevier 
1718-3243,0065-1168	Acta Criminologica	Consortium Erudit
2007-4719	Acta de Investigación Psicológica	Universidad Nacional Autonoma de Mexico
1843-066X,1841-0987	Acta Endocrinologica (Bucharest)	ACTA Endocrinologica Foundation
1339-9802	Acta Environmentalica Universitatis Comenianae	Walter de Gruyter GmbH
0104-7795	Acta Fisiátrica	GN1 Genesis Network
0001-5636	Acta Forestalia Fennica	Finnish Society of Forest Science
1120-9623	Acta geneticae medicae et gemellologiae	Cambridge University Press
0515-2836	Acta geneticae medicae et gemellologiae Supplementum	Cambridge University Press
1857-9833	Acta Geobalcanica	Geobalcanica Society
2365-7499,2096-0956	Acta Geochimica	Springer-Verlag
2213-5820,2213-5812	Acta Geodaetica et Geophysica	Springer-Verlag
1214-9705	Acta Geodynamica et Geomaterialia	"Institute of Rock Structure and Mechanics, AS CR"
1588-2594,0236-5278	Acta Geologica Hungarica	Akademiai Kiado Zrt.
2414-6528	Acta healthmedica	Mehr Publishing Group
2411-4502,1017-7000	Acta Herediana	Universidad Peruana Cayetano Heredia
1588-2608,0001-5830	Acta Historiae Artium	Akademiai Kiado Zrt.
2466-2925,0352-7840	Acta historiae medicinae stomatologiae pharmaciae medicinae veterinariae	"Scientific Society for History of Health Culture, Belgrade"
2351-6526,1392-4095	Acta Historica Universitatis Klaipedensis	Klaipeda University Press
1338-5259	Acta Horticulturae et Regiotecturae	De Gruyter Open Sp. z o.o. 
2082-4459	Acta Humana	Wydawnictwo Uniwersytetu Marii Curie-SkÅodowskiej w Lublinie
1849-1243,1845-3392	Acta Iadertina	University of Zadar
2221-870X	ACTA IMEKO	IMEKO International Measurement Confederation
2521-0505,2521-0874	Acta Informatica Malaysia	ZIbeline International Publishing
2411-7315	Acta Islamica	"Al Manhal FZ, LLC"
2083-4373	Acta Iuris Stetinensis	University of Szczecin
1588-2616,1216-2574	Acta Juridica Hungarica	Akademiai Kiado Zrt.
0105-001X	Acta Linguistica	Informa UK (Taylor & Francis)
2560-1016,2559-8201	Acta Linguistica Academica	Akademiai Kiado Zrt.
0717-6848	Acta literaria	SciELO Comision Nacional de Investigacion Cientifica Y Tecnologica
2351-7387,1822-5608	Acta litteraria comparativa	Lithuanian University of Educational Sciences
0065-1370	Acta Manilana	PhilJOL
0001-5954	Acta Mathematica Academiae Scientiarum Hungaricae	Springer-Verlag
2453-6083	Acta Mathematica Nitriensia	Constantine the Philosopher University in Nitra
1000-9574	Acta Mathematica Sinica	Springer-Verlag
1335-2393	Acta Mechanica Slovaca	De Gruyter Open Sp. z o.o. 
2349-0896,2349-0578	Acta Medica International	Medknow Publications
2029-4174,1392-0138	Acta medica Lituanica	Lithuanian Academy of Sciences
1840-3956,0350-364X	Acta Medica Saliniana	Acta Medica Saliniana
2062-0284,2062-0284	Acta Medicinae et Sociologica	University of Debrecen/ Debreceni Egyetem - Acta Medicinae et Sociologica
1338-1156,1335-1532	Acta Metallurgica Slovaca	"Technical University of Kosice, Faculty of Metallurgy"
1338-1660	Acta Metallurgica Slovaca - Conference	"Technical University of Kosice, Faculty of Metallurgy"
2386-7469	Acta Microbiologica	International Medical Publisher (Fundacion de Neurociencias)
2351-5112,2351-5112	Acta Museologica Lithuanica	Vilnius University
2075-8243	Acta Nature	"Science and Education, Ltd."
2422-4022,0120-8748	Acta neurológica colombiana	Asociacion Colombiana de Neurologia
2148-7669,0304-596X	Acta Oncologica Turcica	"LookUs Bilisim, Ltd."
2424-6026,2424-6026	Acta Orientalia Vilnensia	Vilnius University
2173-5735	Acta Otorrinolaringologica (English Edition)	Elsevier 
1392-5016,1392-5016	Acta Paedagogica Vilnensia	Vilnius University
0304-131X	Acta Pathologica Microbiologica Scandinavica Section B Microbiology	Wiley (Blackwell Publishing)
0365-5563	Acta Pathologica Microbiologica Scandinavica Section B Microbiology and Immunology	Wiley (Blackwell Publishing)
1982-0194	Acta Paulista de Enfermagem	SciELO
2411-6270,2410-1400	Acta Pediátrica Hondureña	Latin America Journals Online
1004-4213	ACTA PHOTONICA SINICA	Shanghai Institute of Optics and Fine Mechanics
0001-6705	Acta Physica Academiae Scientiarum Hungaricae	Springer-Verlag
1004-423X	Acta Physica Sinica (Overseas Edition)	IOP Publishing
1872-1508	Acta Physico-Chimica Sinica	Elsevier 
1521-4044,0323-7648	Acta Polymerica	Wiley (John Wiley & Sons)
2183-5985,2183-5985	Acta Portuguesa de Nutrição	Portuguese Association of Nutritionists
2469-6676	Acta Psychopathologica	OMICS Publishing Group
2386-6861	Acta Reumatológica	International Medical Publisher (Fundacion de Neurociencias)
2526-169X,2526-169X	Acta Scientiae Biological Research	Instituto Adventista de Ensino
1807-8656,1679-7361	Acta Scientiarum Human and Social Sciences	Universidade Estadual de Maringa
2521-506X,2521-5051	Acta Scientifica Malaysia	ZIbeline International Publishing
2335-3953,2335-3112	Acta Silvae et Ligni	Slovenian Forestry Institute
1007-6654	Acta Sinica Quantum Optica	Shanghai Institute of Optics and Fine Mechanics
0186-6028	Acta Sociológica	Universidad Nacional Autonoma de Mexico
2504-1665,2504-1657	Acta Structuralica	sdvig press
2064-5228,1789-6932	Acta Technica Jaurinensis	"Faculty of Mechanical Engineering, Informatics and Electrical Engineering"
1582-5329	Acta Universitatis Apulensis	University 1 December 1918 of Alba Iulia
2336-4297	Acta Universitatis Bohemiae Meridionalis	Walter de Gruyter GmbH
1583-7149	ACTA Universitatis Cibiniensis	De Gruyter Open Sp. z o.o. 
2353-6063,1427-9711	Acta Universitatis Lodziensis Folia Geographica Physica	Uniwersytet Lodzki (University of Lodz)
2353-4826,1508-1117	Acta Universitatis Lodziensis Folia Geographica Socio-Oeconomica	Uniwersytet Lodzki (University of Lodz)
1427-9665	Acta Universitatis Lodziensis Folia Germanica	Uniwersytet Lodzki (University of Lodz)
0208-6050	Acta Universitatis Lodziensis Folia Historica	Uniwersytet Lodzki (University of Lodz)
2450-2782,0208-6069	Acta Universitatis Lodziensis Folia Iuridica	Uniwersytet Lodzki (University of Lodz)
2450-0119,0208-6077	Acta Universitatis Lodziensis Folia Linguistica	Uniwersytet Lodzki (University of Lodz)
2353-9623,1731-8025	Acta Universitatis Lodziensis Folia Linguistica Rossica	Uniwersytet Lodzki (University of Lodz)
2353-1908,1505-9057	Acta Universitatis Lodziensis Folia Litteraria Polonica	Uniwersytet Lodzki (University of Lodz)
1505-9065	Acta Universitatis Lodziensis Folia Litteraria Romanica	Uniwersytet Lodzki (University of Lodz)
1427-969X	Acta Universitatis Lodziensis Folia Psychologica	Uniwersytet Lodzki (University of Lodz)
2353-4850,0208-600X	Acta Universitatis Lodziensis Folia Sociologica	Uniwersytet Lodzki (University of Lodz)
0860-6587	Acta Universitatis Lodziensis Kształcenie Polonistyczne Cudzoziemców	Uniwersytet Lodzki (University of Lodz)
1338-449X,1338-4430	Acta Universitatis Mattiae Belii series Environmental Management	Matej Bel University in Banska Bystrica
2392-1269,2080-0339	Acta Universitatis Nicolai Copernici Ekonomia	Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University
0208-5313	Acta Universitatis Nicolai Copernici Pedagogika	Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University
0208-533X	Acta Universitatis Nicolai Copernici Zabytkoznawstwo i Konserwatorstwo	Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University
0860-1232,1689-8966	Acta Universitatis Nicolai Copernici Zarządzanie	Uniwersytet Mikolaja Kopernika/Nicolaus Copernicus University
2343-8894	Acta Universitatis Sapientiae Economics and Business	De Gruyter Open Sp. z o.o. 
2068-2956	Acta Universitatis Sapientiae Philologica	De Gruyter Open Sp. z o.o. 
2341-4022	Acta Urológica Portuguesa	Elsevier 
1895-3123	Acta Zoologica Cracoviensia - Series A Vertebrata	"Institute of Systematics and Evolution of Animals, Polish Academy of Sciences"
2393-6304,1510-8139	Actas Odontológicas	Universidad Catolica de Uruguay
0719-272X,0717-425X	Actas Teológicas	Universidad Catolica de Temuco
2173-5786	Actas Urológicas Españolas (English Edition)	Elsevier 
2117-6809,1261-9078	Actes de la Société des historiens médiévistes de l enseignement supérieur public	PERSEE Program
2271-6424	Actes des congrès de la Société française Shakespeare	OpenEdition
2105-0597	Actes des rencontres du CIRM	Cellule MathDoc/CEDRAM
2510-2788,1802-9698	Activitas Nervosa Superior	Springer-Verlag
0124-5805,0124-5805	Activos	Universidad Santo Tomas
2383-4943	ACTS Theological Journal	ACTS Theology Institute
2308-8877	Actual directions of scientific researches of the XXI century theory and practice	Infra-M Academic Publishing House
2312-2129	Actual Problems of Theory and History of Art	Actual Problems of Theory and History of Art
2145-7166,0304-3584	Actualidades Biológicas	Universidad de Antioquia
2389-8755,0120-1700	Actualidades Pedagógicas	Universidad de la Salle
2272-060X,2272-060X	Actualités en analyse transactionnelle	CAIRN
2211-7660	Acupuncture and Related Therapies	Elsevier 
2052-8817	Acute Medicine & Surgery	Wiley (John Wiley & Sons)
1896-9461,1896-9461	Ad Americam	Ksiegarnia Akademicka Sp. z.o.o.
1691-5771	Ad verba liberorum	De Gruyter Open Sp. z o.o. 
1655-4434	ad Veritatem	PhilJOL
2076-944X	Adaptive Medicine	Society of Adaptive Science in Taiwan
0974-7028	Adarsh Journal of Management Research	Adarsh Group of Institutions
2549-9912,2503-2755	AdBispreneur	Universitas Padjadjaran
2327-0152	ADC Review / Journal of Antibody-drug Conjugates	"InPress Media Group, LLC"
2149-1305,2148-7286	Addicta The Turkish Journal on Addictions	Turkiye Yesilay Cemiyeti
1058-6989	Addiction Research	Informa UK (Taylor & Francis)
2010-0329	Addition of -Alkylhydroxylamines to Enones	Georg Thieme Verlag KG
2060-0127	Addition of Alkyl Groups in C—C Bond Formation	Georg Thieme Verlag KG
2050-0335	Addition of Carbon Nucleophiles to Aldehydes	Georg Thieme Verlag KG
2050-0343	Addition of β-Oxo Esters	Georg Thieme Verlag KG
2050-0181	Addition Reaction to Vinyl-1-indoles	Georg Thieme Verlag KG
2060-0542	Addition Reactions	Georg Thieme Verlag KG
2020-0277	Addition to Carbonyls	Georg Thieme Verlag KG
2050-0300	Addition to Oxocarbenium Ions	Georg Thieme Verlag KG
2020-0455	Addition to β-Carbolines	Georg Thieme Verlag KG
2380-4491	Additional Conferences (Device Packaging HiTEC HiTEN & CICMT)	International Microelectronics and Packaging Society
2020-0412	Additions to Aldimines and Ketimines	Georg Thieme Verlag KG
2020-0439	Additions to Special Imines	Georg Thieme Verlag KG
2214-8604	Additive Manufacturing	Elsevier 
0306-3747	Additives for Polymers	Elsevier 
0001-0898,0001-0898	ADE Bulletin	Modern Language Association
1944-558X,1944-5571	Adelphi series	Informa UK (Taylor & Francis)
0148-7639,0148-7639	ADFL Bulletin	Modern Language Association
2192-8681,1619-1919	adhäsion KLEBEN & DICHTEN	Springer Fachmedien Wiesbaden GmbH
2195-6545,2192-2624	ADHESION ADHESIVES&SEALANTS	Springer Fachmedien Wiesbaden GmbH
1229-9243	Adhesion and Interface	"The Society of Adhesion and Interface, Korea"
2455-8656,2249-1066	Adhyayan A Journal of Management Sciences	"School of Management Sciences, Lucknow"
1313-3705	Adipobiology	Medical University Prof. Dr. Praskev Stoyanov - Varna
2149-2727	Adıyaman Üniversitesi Eğitim Bilimleri Dergisi	Adiyaman Universitesi Egitim Bilimleri Dergisi
1308-7363,1308-7363	Adıyaman Üniversitesi Sosyal Bilimler Enstitüsü Dergisi	Adiyaman University Journal of Social Sciences
2114-0502	ADLFI Archéologie de la France - Informations	OpenEdition
2500-5227,0120-3754	Administración y Desarrollo	Escuela Superior de Administracion Publica
2309-3633	Administration	Infra-M Academic Publishing House
0001-8325	Administration	Walter de Gruyter GmbH
1726-1139	Administrative Consulting	The Russian Presidential Academy of National Economy and Public Administration
2153-7615	Administrative Issues Journal Education Practice and Research	"Administrative Issues Journal: Education, Practice and Research"
1302-6755	Adnan Menderes Üniversitesi Tıp Fakültesi/Journal Of Adnan Menderes University Medical Faculty	Galenos Yayinevi
1304-7787	Adnan Menderes Üniversitesi Ziraat Fakültesi Dergisi	Adnan Menderes Universitesi Ziraat Fakultesi Dergisi
2363-8354,2363-8346	Adolescent Research Review	Springer-Verlag
1889-7304	aDResearch ESIC International Journal of Communication Research	"ESIC Business and Marketing School, AdResearch Journal"
2310-9343,2311-0163	Advance in Agriculture and Biology	Progressive Science Publications
2231-640X,0976-5603	ADVANCE RESEARCH JOURNAL OF CROP IMPROVEMENT	Hind Agri Horticultural Society
2231-6418,0976-5611	ADVANCE RESEARCH JOURNAL OF SOCIAL SCIENCE	Hind Agri Horticultural Society
2314-8667	Advanced Arab Academy of Audio-Vestibulogy Journal	Medknow Publications
2187-5219	Advanced Biomedical Engineering	Japanes Society for Medical and Biological Engineering
2366-7478	Advanced Biosystems	Wiley (John Wiley & Sons)
2520-5951	Advanced Business and Finance	Intellectual Consortium of Drug Discovery and Technology Development Incorporation
2520-596X	Advanced Calculation and Analysis	Intellectual Consortium of Drug Discovery and Technology Development Incorporation
1065-7355	Advanced Cement Based Materials	Elsevier 
0883-5551	Advanced Ceramic Materials	Wiley (Blackwell Publishing)
2326-5671	Advanced Chemical Engineering Research	"Science and Engineering Publishing, Co."
2326-747X	Advanced Chemistry Letters	American Scientific Publishers
2454-3934	Advanced Computational Intelligence An International Journal (ACII)	Academy and Industry Research Collaboration Center
