@id,subjects
0007-4551,"[u'Cancer Research', u'General Medicine', u'Hematology', u'Oncology', u'Radiology Nuclear Medicine and imaging', u'Cancer Research', u'General Medicine', u'Hematology', u'Oncology', u'Radiology Nuclear Medicine and imaging', u'Cancer Research', u'General Medicine', u'Hematology', u'Oncology', u'Radiology Nuclear Medicine and imaging', u'Cancer Research', u'General Medicine', u'Hematology', u'Oncology', u'Radiology Nuclear Medicine and imaging']"
0007-4802,"[u'Earth and Planetary Sciences (miscellaneous)', u'Geochemistry and Petrology', u'Geology', u'Energy Engineering and Power Technology']"
0007-4853,"[u'Agronomy and Crop Science', u'Insect Science', u'General Medicine']"
0007-4918,"[u'Economics and Econometrics', u'Development']"
0007-4977,"[u'Aquatic Science', u'Oceanography']"
0007-666X_0007-666X,"[u'Business and International Management', u'Economics and Econometrics']"
0007-6813,"[u'Business and International Management', u'Marketing']"
0007-8506,"[u'Industrial and Manufacturing Engineering', u'Mechanical Engineering']"
0007-893X,[]
0007-9820,[]
0007-9960,"[u'Medicine (miscellaneous)', u'Nutrition and Dietetics']"
0008-0845,"[u'Agronomy and Crop Science', u'Forestry', u'Plant Science']"
0008-3550,"[u'Ecology, Evolution, Behavior and Systematics']"
0008-400X_1879-2669,[u'General Psychology']
0008-428X,[u'Surgery']
0008-6215_0008-6215,"[u'Biochemistry', u'Analytical Chemistry', u'Organic Chemistry', u'General Medicine']"
0008-6223,[u'General Chemistry']
0008-6452,[u'Multidisciplinary']
0008-7041,[u'Earth-Surface Processes']
0008-8692,[]
0008-8846,"[u'Building and Construction', u'General Materials Science']"
0008-9192,"[u'History', u'Language and Linguistics', u'Archaeology', u'Literature and Literary Theory', u'Archaeology', u'Linguistics and Language', u'History', u'Language and Linguistics', u'Archaeology', u'Literature and Literary Theory', u'Archaeology', u'Linguistics and Language', u'History', u'Language and Linguistics', u'Archaeology', u'Literature and Literary Theory', u'Archaeology', u'Linguistics and Language']"
0009-0352,"[u'Food Science', u'Organic Chemistry']"
0009-0794,"[u'Arts and Humanities (miscellaneous)', u'Anthropology', u'Cultural Studies']"
0009-2509,"[u'General Chemical Engineering', u'General Chemistry', u'Industrial and Manufacturing Engineering', u'Applied Mathematics']"
0009-2541,"[u'Geochemistry and Petrology', u'Geology']"
0009-2614,"[u'Physical and Theoretical Chemistry', u'General Physics and Astronomy']"
0009-2797,"[u'General Medicine', u'Toxicology']"
0009-2819,"[u'Geochemistry and Petrology', u'Geophysics']"
0009-3068,"[u'Biotechnology', u'General Chemical Engineering', u'General Chemistry']"
0009-3084,"[u'Biochemistry', u'Cell Biology', u'Molecular Biology', u'Organic Chemistry']"
0009-4293,"[u'General Chemistry', u'General Medicine']"
0009-4536,[u'General Chemistry']
0009-4919,[]
0009-6725,"[u'General Earth and Planetary Sciences', u'General Environmental Science']"
0009-739X,[u'Surgery']
0009-7411,[u'Surgery']
0009-8353_0009-8353,[u'Classics']
0009-8604,"[u'Soil Science', u'Earth and Planetary Sciences (miscellaneous)', u'Geochemistry and Petrology', u'Water Science and Technology']"
0009-8981,"[u'Biochemistry', u'Clinical Biochemistry', u'General Medicine', u'Biochemistry, medical']"
0009-9120,"[u'Clinical Biochemistry', u'General Medicine']"
0009-9201,[u'Obstetrics and Gynaecology']
0009-9260,"[u'General Medicine', u'Radiology Nuclear Medicine and imaging']"
0010-0277,"[u'Language and Linguistics', u'Cognitive Neuroscience', u'Developmental and Educational Psychology', u'Experimental and Cognitive Psychology', u'Linguistics and Language', u'Language and Linguistics', u'Cognitive Neuroscience', u'Developmental and Educational Psychology', u'Experimental and Cognitive Psychology', u'Linguistics and Language', u'Language and Linguistics', u'Cognitive Neuroscience', u'Developmental and Educational Psychology', u'Experimental and Cognitive Psychology', u'Linguistics and Language']"
0010-2180,"[u'General Chemical Engineering', u'General Chemistry', u'Energy Engineering and Power Technology', u'Fuel Technology', u'General Physics and Astronomy', u'General Chemical Engineering', u'General Chemistry', u'Energy Engineering and Power Technology', u'Fuel Technology', u'General Physics and Astronomy', u'General Chemical Engineering', u'General Chemistry', u'Energy Engineering and Power Technology', u'Fuel Technology', u'General Physics and Astronomy', u'General Chemical Engineering', u'General Chemistry', u'Energy Engineering and Power Technology', u'Fuel Technology', u'General Physics and Astronomy']"
0010-3497,[]
0010-4140,[u'Sociology and Political Science']
0010-440X,"[u'Psychiatry and Mental health', u'Clinical Psychology']"
0010-4485,"[u'Computer Graphics and Computer-Aided Design', u'Computer Science Applications', u'Industrial and Manufacturing Engineering']"
0010-4655,"[u'Hardware and Architecture', u'General Physics and Astronomy']"
0010-4825,"[u'Computer Science Applications', u'Health Informatics']"
0010-7824,"[u'Obstetrics and Gynaecology', u'Reproductive Medicine']"
0010-8367,[u'Strategy and Management']
0010-8545_0010-8545,[u'General Chemistry']
0010-8650,[u'Cardiology and Cardiovascular Medicine']
0010-938X,"[u'General Chemical Engineering', u'General Chemistry', u'General Materials Science']"
0010-9452,"[u'Cognitive Neuroscience', u'Experimental and Cognitive Psychology', u'Neuropsychology and Physiological Psychology']"
0010-9541,[]
0010-9894,"[u'Music', u'Education']"
0011-0000,[u'Applied Psychology']
0011-0035,"[u'Clinical Psychology', u'Developmental and Educational Psychology', u'Education']"
0011-1287,"[u'Pathology and Forensic Medicine', u'Law']"
0011-2232,[]
0011-2275,"[u'General Materials Science', u'General Physics and Astronomy']"
0011-3131,"[u'Education', u'Political Science and International Relations']"
0011-3840,"[u'General Medicine', u'Surgery']"
0011-3891,[u'Multidisciplinary']
0011-393X,"[u'Pharmacology (medical)', u'Pharmacology']"
0011-5029,[u'General Medicine']
0011-5258_0011-5258,[u'General Social Sciences']
0011-5266,"[u'Arts and Humanities (miscellaneous)', u'History and Philosophy of Science', u'Social Sciences (miscellaneous)', u'Political Science and International Relations']"
0011-8486,[u'General Medicine']
0011-8524,"[u'Oral Surgery', u'Orthodontics']"
0011-8532,[u'General Dentistry']
0011-9164,"[u'General Chemical Engineering', u'General Chemistry', u'Mechanical Engineering', u'Water Science and Technology', u'General Materials Science', u'General Chemical Engineering', u'General Chemistry', u'Mechanical Engineering', u'Water Science and Technology', u'General Materials Science', u'General Chemical Engineering', u'General Chemistry', u'Mechanical Engineering', u'Water Science and Technology', u'General Materials Science', u'General Chemical Engineering', u'General Chemistry', u'Mechanical Engineering', u'Water Science and Technology', u'General Materials Science']"
0012-1797_0012-1797,"[u'Endocrinology, Diabetes and Metabolism', u'Internal Medicine']"
0012-365X,"[u'Discrete Mathematics and Combinatorics', u'Theoretical Computer Science']"
0012-7094,[u'General Mathematics']
0012-821X,"[u'Earth and Planetary Sciences (miscellaneous)', u'Geochemistry and Petrology', u'Geophysics', u'Space and Planetary Science']"
0012-8252,[u'General Earth and Planetary Sciences']
0012-9615,"[u'Ecology, Evolution, Behavior and Systematics']"
0012-9658,"[u'Ecology, Evolution, Behavior and Systematics']"
0013-1245,"[u'Education', u'Urban Studies']"
0013-1644,"[u'Applied Mathematics', u'Applied Psychology', u'Developmental and Educational Psychology', u'Education']"
0013-1725,[u'Education']
0013-2446,"[u'Health Informatics', u'Public Health, Environmental and Occupational Health', u'Community and Home Care']"
0013-4686,"[u'General Chemical Engineering', u'Electrochemistry']"
0013-6654_0013-6654,[u'Emergency Medicine']
0013-7006,"[u'Arts and Humanities (miscellaneous)', u'Psychiatry and Mental health']"
0013-7944,"[u'Mechanical Engineering', u'Mechanics of Materials', u'General Materials Science']"
0013-7952,"[u'Geology', u'Geotechnical Engineering and Engineering Geology']"
0013-8584,[]
0013-8746_0013-8746,[u'Insect Science']
0013-8797,"[u'Ecology, Evolution, Behavior and Systematics', u'Insect Science']"
0014-0015,"[u'General Earth and Planetary Sciences', u'Ecology', u'Geography, Planning and Development']"
0014-1836_0014-1836,"[u'Music', u'Anthropology', u'Cultural Studies']"
0014-2921,"[u'Economics and Econometrics', u'Finance']"
0014-2999,[u'Pharmacology']
0014-3057,"[u'Organic Chemistry', u'Polymers and Plastics', u'General Physics and Astronomy']"
0014-3855,[u'Psychiatry and Mental health']
0014-5793,"[u'Biochemistry', u'Biophysics', u'Cell Biology', u'Genetics', u'Molecular Biology', u'Structural Biology', u'Biochemistry', u'Biophysics', u'Cell Biology', u'Genetics', u'Molecular Biology', u'Structural Biology', u'Biochemistry', u'Biophysics', u'Cell Biology', u'Genetics', u'Molecular Biology', u'Structural Biology', u'Biochemistry', u'Biophysics', u'Cell Biology', u'Genetics', u'Molecular Biology', u'Structural Biology']"
0014-9187,[u'Business and International Management']
0015-0282,"[u'Obstetrics and Gynaecology', u'Reproductive Medicine']"
0015-1882,"[u'Filtration and Separation', u'Industrial and Manufacturing Engineering', u'General Environmental Science']"
0015-198X,"[u'Accounting', u'Economics and Econometrics', u'Finance']"
0015-2218,[u'Finance']
0015-3230,[u'Metals and Alloys']
0015-3303,[]
0015-573X,[]
0015-7473,"[u'Forestry', u'Plant Science', u'General Materials Science']"
0015-749X,"[u'Forestry', u'Ecological Modelling', u'Ecology']"
0016-0032,"[u'Computer Networks and Communications', u'Signal Processing', u'Control and Systems Engineering', u'Applied Mathematics']"
0016-2361,"[u'General Chemical Engineering', u'Organic Chemistry', u'Energy Engineering and Power Technology', u'Fuel Technology']"
0016-3287,"[u'Business and International Management', u'Development', u'Sociology and Political Science']"
0016-5085,[u'Gastroenterology']
0016-5107,"[u'Gastroenterology', u'Radiology Nuclear Medicine and imaging']"
0016-5352,[]
0016-626X,[u'Geochemistry and Petrology']
0016-6758,[u'General Medicine']
0016-6995,"[u'Space and Planetary Science', u'Stratigraphy']"
0016-7037_0016-7037,[u'Geochemistry and Petrology']
0016-7061,[u'Soil Science']
0016-7126,[]
0016-7169,"[u'Geophysics', u'General Energy']"
0016-7185,[u'Sociology and Political Science']
0016-7525,"[u'Geochemistry and Petrology', u'Geophysics']"
0016-7770,"[u'Geology', u'Geotechnical Engineering and Engineering Geology']"
0016-7878,"[u'Geology', u'Palaeontology']"
0016-7886,[u'Earth and Planetary Sciences (miscellaneous)']
0016-7940,[]
0016-853X,[]
0016-9900,"[u'Health, Toxicology and Mutagenesis', u'Pollution', u'General Medicine', u'Public Health, Environmental and Occupational Health']"
0017-0011_0017-0011,[u'Obstetrics and Gynaecology']
0017-095X,[u'General Mathematics']
0017-1417,[]
0017-2278,[u'Geotechnical Engineering and Engineering Geology']
0017-3134,"[u'Ecology, Evolution, Behavior and Systematics', u'Plant Science']"
0017-9078,"[u'Health, Toxicology and Mutagenesis', u'Epidemiology', u'Radiology Nuclear Medicine and imaging']"
0017-9310_0017-9310,"[u'Fluid Flow and Transfer Processes', u'Mechanical Engineering', u'Condensed Matter Physics']"
0017-9655,[]
0018-0599,[]
0018-067X_0018-067X,"[u'Genetics', u'Genetics(clinical)']"
0018-0971,[]
0018-442X,[u'Anthropology']
0018-5345,[u'Horticulture']
0018-8166,"[u'Aquatic Science', u'Ecology', u'Water Science and Technology']"
0018-8646_0018-8646,[u'General Computer Science']
0018-9162,[u'General Computer Science']
0018-9235,[u'Electrical and Electronic Engineering']
0018-9251,"[u'Aerospace Engineering', u'Electrical and Electronic Engineering']"
0018-9340,"[u'Computational Theory and Mathematics', u'Hardware and Architecture', u'Software', u'Theoretical Computer Science']"
0019-0365,[u'Philosophy']
0019-0578,"[u'Computer Science Applications', u'Electrical and Electronic Engineering', u'Applied Mathematics', u'Instrumentation']"
0019-0810_0019-0829,"[u'Language and Linguistics', u'Education', u'Linguistics and Language']"
0019-1442,"[u'Clinical Neurology', u'Neurology']"
0019-3577,[u'General Mathematics']
0019-4662,[]
0019-4832,[u'Cardiology and Cardiovascular Medicine']
0019-4964_0970-4140,[u'Multidisciplinary']
0019-5049,[u'Anesthesiology and Pain Medicine']
0019-509X,[u'Oncology']
0019-5138_2394-7047,[u'Infectious Diseases']
0019-5154,[u'Dermatology']
0019-5235,[]
0019-5278,"[u'Public Health, Environmental and Occupational Health']"
0019-5308_0971-7927,[u'Economics and Econometrics']
0019-5413,[u'Orthopedics and Sports Medicine']
0019-5464_0019-5464,"[u'General Pharmacology, Toxicology and Pharmaceutics']"
0019-5545,[u'Psychiatry and Mental health']
0019-5561,[]
0019-557X,[u'General Medicine']
0019-5707,[u'Infectious Diseases']
0019-7289,[]
0019-7858,"[u'General Business, Management and Accounting', u'Organizational Behavior and Human Resource Management', u'Education']"
0019-8501,[u'Marketing']
0020-0190,"[u'Computer Science Applications', u'Information Systems', u'Signal Processing', u'Theoretical Computer Science']"
0020-0255,"[u'Artificial Intelligence', u'Computer Science Applications', u'Software', u'Information Systems and Management', u'Control and Systems Engineering', u'Theoretical Computer Science']"
0020-1383_0020-1383,"[u'Emergency Medicine', u'Orthopedics and Sports Medicine']"
0020-1693_0020-1693,"[u'Inorganic Chemistry', u'Physical and Theoretical Chemistry', u'Materials Chemistry']"
0020-174X_0020-174X,[u'Health Policy']
0020-2940,"[u'Applied Mathematics', u'Control and Optimization', u'Instrumentation']"
0020-2967,"[u'Mechanics of Materials', u'Metals and Alloys', u'Surfaces, Coatings and Films', u'Condensed Matter Physics', u'Surfaces and Interfaces', u'Mechanics of Materials', u'Metals and Alloys', u'Surfaces, Coatings and Films', u'Condensed Matter Physics', u'Surfaces and Interfaces']"
0020-5907,[u'Anesthesiology and Pain Medicine']
0020-6539,[u'General Dentistry']
0020-7063,[]
0020-7225,[u'General Engineering']
0020-7292,"[u'General Medicine', u'Obstetrics and Gynaecology']"
0020-7403,"[u'Civil and Structural Engineering', u'Mechanical Engineering', u'Mechanics of Materials', u'General Materials Science', u'Condensed Matter Physics']"
0020-7462,"[u'Mechanical Engineering', u'Mechanics of Materials', u'Applied Mathematics']"
0020-7489,[u'General Nursing']
0020-7519,"[u'Parasitology', u'Infectious Diseases']"
0020-7640,[u'Psychiatry and Mental health']
0020-7683,"[u'Mechanical Engineering', u'Mechanics of Materials', u'General Materials Science', u'Applied Mathematics', u'Modelling and Simulation', u'Condensed Matter Physics']"
0020-8167,[u'Ophthalmology']
0020-8523,"[u'Sociology and Political Science', u'Public Administration']"
0020-8868,[u'Surgery']
0020-9996,"[u'General Medicine', u'Radiology Nuclear Medicine and imaging']"
0021-2776,[]
0021-325X_0021-325X,"[u'Religious studies', u'Law']"
0021-3454,[]
0021-7557_0021-7557,"[u'Pediatrics, Perinatology, and Child Health']"
0021-7824,"[u'General Mathematics', u'Applied Mathematics']"
0021-8502,"[u'Environmental Chemistry', u'Pollution', u'General Materials Science']"
0021-8731,[]
0021-8863,[u'Applied Psychology']
0021-8928,"[u'Mechanical Engineering', u'Mechanics of Materials', u'Applied Mathematics', u'Modelling and Simulation']"
0021-8936,"[u'Mechanical Engineering', u'Mechanics of Materials', u'Condensed Matter Physics']"
0021-910X,"[u'History', u'Sociology and Political Science', u'Cultural Studies']"
0021-9150,[u'Cardiology and Cardiovascular Medicine']
0021-9231,"[u'Literature and Literary Theory', u'Religious studies']"
0021-9290,"[u'Biophysics', u'Biomedical Engineering', u'Orthopedics and Sports Medicine', u'Rehabilitation']"
0021-9347,"[u'Sociology and Political Science', u'Anthropology', u'Cultural Studies']"
0021-9487,"[u'General Chemical Engineering', u'Energy Engineering and Power Technology', u'Fuel Technology']"
0021-955X,"[u'General Chemistry', u'Materials Chemistry', u'Polymers and Plastics']"
0021-9673,"[u'Biochemistry', u'Analytical Chemistry', u'Organic Chemistry', u'General Medicine', u'Biochemistry', u'Analytical Chemistry', u'Organic Chemistry']"
0021-9894,[u'Literature and Literary Theory']
0021-9924,"[u'Cognitive Neuroscience', u'LPN and LVN', u'Experimental and Cognitive Psychology', u'Linguistics and Language', u'Speech and Hearing', u'Cognitive Neuroscience', u'LPN and LVN', u'Experimental and Cognitive Psychology', u'Linguistics and Language', u'Speech and Hearing']"
0021-9975,"[u'Pathology and Forensic Medicine', u'General Veterinary']"
0022-0094,"[u'History', u'Sociology and Political Science', u'Cultural Studies']"
0022-0124,[u'Review and Exam Preparation']
0022-0175,"[u'Visual Arts and Performing Arts', u'Developmental and Educational Psychology', u'Education']"
0022-0248,"[u'Inorganic Chemistry', u'Materials Chemistry', u'Condensed Matter Physics']"
0022-0256,[]
0022-0337,[u'General Medicine']
0022-040X,"[u'Algebra and Number Theory', u'Analysis', u'Geometry and Topology']"
0022-0418,"[u'Information Systems', u'Library and Information Sciences']"
0022-0434,"[u'Computer Science Applications', u'Information Systems', u'Control and Systems Engineering', u'Mechanical Engineering', u'Instrumentation', u'Computer Science Applications', u'Information Systems', u'Control and Systems Engineering', u'Mechanical Engineering', u'Instrumentation']"
0022-0493_0022-0493,"[u'Insect Science', u'Ecology', u'General Medicine']"
0022-0515,[u'Economics and Econometrics']
0022-0736,[u'Cardiology and Cardiovascular Medicine']
0022-0787,"[u'Organizational Behavior and Human Resource Management', u'General Psychology', u'Applied Psychology']"
0022-0981,"[u'Aquatic Science', u'Ecology, Evolution, Behavior and Systematics']"
0022-1139,"[u'Biochemistry', u'Inorganic Chemistry', u'Organic Chemistry', u'Physical and Theoretical Chemistry', u'Environmental Chemistry', u'Biochemistry', u'Inorganic Chemistry', u'Organic Chemistry', u'Physical and Theoretical Chemistry', u'Environmental Chemistry']"
0022-1201,"[u'Forestry', u'Plant Science']"
0022-1481,"[u'Mechanical Engineering', u'Mechanics of Materials', u'General Materials Science', u'Condensed Matter Physics']"
0022-1511,"[u'Animal Science and Zoology', u'Ecology, Evolution, Behavior and Systematics']"
0022-1694,[u'Water Science and Technology']
0022-1759,"[u'Immunology', u'Immunology and Allergy']"
0022-1910_0022-1910,"[u'Insect Science', u'Physiology']"
0022-1996,"[u'Economics and Econometrics', u'Finance']"
0022-2313,"[u'Biochemistry', u'Biophysics', u'General Chemistry', u'Condensed Matter Physics', u'Atomic and Molecular Physics, and Optics', u'Biochemistry', u'Biophysics', u'General Chemistry', u'Condensed Matter Physics', u'Atomic and Molecular Physics, and Optics']"
0022-2429_0022-2429,"[u'Business and International Management', u'Marketing']"
0022-2518,[u'General Mathematics']
0022-2860_0022-2860,"[u'Analytical Chemistry', u'Inorganic Chemistry', u'Organic Chemistry', u'Spectroscopy']"
0022-300X,[u'Agronomy and Crop Science']
0022-3018,[u'Psychiatry and Mental health']
0022-3093,"[u'Ceramics and Composites', u'Electronic, Optical and Magnetic Materials', u'Materials Chemistry', u'Condensed Matter Physics']"
0022-3115_0022-3115,"[u'Nuclear Energy and Engineering', u'General Materials Science', u'Nuclear and High Energy Physics']"
0022-328X_0022-328X,"[u'Biochemistry', u'Inorganic Chemistry', u'Organic Chemistry', u'Physical and Theoretical Chemistry', u'Materials Chemistry', u'Biochemistry', u'Inorganic Chemistry', u'Organic Chemistry', u'Physical and Theoretical Chemistry', u'Materials Chemistry']"
0022-3433,"[u'Safety Research', u'Sociology and Political Science', u'Political Science and International Relations']"
0022-3476,"[u'Pediatrics, Perinatology, and Child Health']"
0022-362X,[u'Philosophy']
0022-3697,"[u'General Chemistry', u'General Materials Science', u'Condensed Matter Physics']"
0022-3840,"[u'Arts and Humanities (miscellaneous)', u'History', u'Literature and Literary Theory']"
0022-3859,[u'General Medicine']
0022-3913,[u'Oral Surgery']
0022-3956,"[u'Psychiatry and Mental health', u'Biological Psychiatry']"
0022-3999,"[u'Psychiatry and Mental health', u'Clinical Psychology']"
0022-4049,[u'Algebra and Number Theory']
0022-4073,"[u'Spectroscopy', u'Atomic and Molecular Physics, and Optics', u'Radiation']"
0022-4278,[u'Social Psychology']
0022-4359,[u'Marketing']
0022-4375,"[u'Safety, Risk, Reliability and Quality']"
0022-4405,"[u'Developmental and Educational Psychology', u'Education']"
0022-474X,"[u'Agronomy and Crop Science', u'Food Science', u'Horticulture', u'Insect Science']"
0022-4871,[u'Education']
0022-4898,[u'Mechanical Engineering']
0022-5002_0022-5002,"[u'Behavioral Neuroscience', u'Experimental and Cognitive Psychology']"
0022-5096,"[u'Mechanical Engineering', u'Mechanics of Materials', u'Condensed Matter Physics']"
0022-510X,"[u'Clinical Neurology', u'Neurology']"
0022-5223,"[u'Cardiology and Cardiovascular Medicine', u'Pulmonary and Respiratory Medicine', u'Surgery']"
0022-5231,[]
0022-5347,[u'Urology']
0022-541X,"[u'Ecology, Evolution, Behavior and Systematics', u'Ecology', u'Nature and Landscape Conservation']"
0022-6882,[]
0022-9040,[u'Cardiology and Cardiovascular Medicine']
0023-074X,[]
0023-1177,[u'Fuel Technology']
0023-1193,[]
0023-1207,[u'General Medicine']
0023-2912,[u'Colloid and Surface Chemistry']
